,puzzle,solution,clues,difficulty
0,..2..1..67..2.8.....5...4.1.4.....723..7....4.....3....149..85.......1....95.....,492351786761248935835679421946185372358792614127463598214936857573824169689517243,24,0.0
1,..5.......8.7.......138..9....61.5.....2...8.9.24....14.9.....637.....2.....3.9..,795142863283796154641385297837619542514273689962458731459827316378961425126534978,24,0.0
2,42.5..7.1..5........638...........15.5......46.4....28.3.1..4..9.2.6.......83....,428596731395471862176382549789243615253618974614957328837129456942765183561834297,25,0.0
3,6...5..9...87......43..67.......74.9.9.43.5.......2..........6...9.45..37.23....8,627153894918724356543986712285617439196438527374592681431879265869245173752361948,26,2.6
4,..2..1........5.7..5...63.1.8...97......8..2..1..7..565.........7........68532.1.,632791584891345672457826391286159743745683129319274856523417968174968235968532417,25,1.3
5,....597.2....2.8...3......1.5..9...3.7.....9...1....8..6.4....789.17.........25..,186359742547621839239847651658294173473518296921763485362485917895176324714932568,24,0.0
6,53...........4....8.1..9.3.19..65.2.6...7......38......4..5.69.........8.6...7..1,534718962926543187871629435197365824682174359453892716748251693219436578365987241,24,1.0
7,1....6.4..7..28...6..53......5....6.7...........2...13..2.7..9..3......19..64....,158796342374128956629534178245813769713469285896257413562371894437985621981642537,23,0.0
8,.2.9..3..713....9......7.2.3...8...6....5..781..76...9.5.....4..78.........52....,824915367713642895596837124347289516962153478185764239651378942278491653439526781,25,0.0
9,..259.1...8..1.7.4.....4...1....892..3..5......4......6......18...4.....51..8..3.,462597183985213764371864592157348926236759841894126375643975218728431659519682437,24,2.8
10,...........6.1...8...8.75.9.......4..35....1.7..52.....97...4..6.8..2...2..13....,879265134546913278123847569962381745435796812781524396397658421618472953254139687,23,2.2
11,.1......7...3...26..82.6...7.....5.1.4....6..3.59......2....8..5..62...9.......3.,216549387457381926938276154792863541841752693365914278129437865573628419684195732,23,0.0
12,.9...3....12....358...4......1.......2..31.....9..83......764........8.1243.1..5.,795623148412987635836145279381792564624531987579468312158276493967354821243819756,25,2.1
13,53.9.814.....7..9.1.........1.2......825..439.......5...3...9...6.3..5....8.16...,536928147824175693197634825315249768782561439649783251473852916261397584958416372,26,0.0
14,.6.....1.2...3..4....8..7.5..3.47.8..5..........56..728..1......36.78...........7,568724913271935648394816725613247589752389164489561372827153496936478251145692837,24,3.1
15,..36.2.1..2..85.7..7..3...9...5.86.....4.......1....5......7....6.....9..9....32.,943672815126985473578134269239518647657429138481763952314297586862351794795846321,23,0.0
16,.1........8254.1..3..6....2...7.5.....1.....894..1...3....6.8..7.5........3...4..,419372586682549137357681942238795614571436298946218753124963875795824361863157429,23,0.0
17,2.....6....1..2...4.7...8.561...3.9......1..6..8.....4....4.5......1...757..69..1,285974613361582479497136825612453798743891256958627134139748562826315947574269381,25,2.6
18,4...912...7.....3..29........59..........641...7.1..6.3...641..5..1...2..6..52...,453691287876425931129387645615943872238576419947218563392764158584139726761852394,26,0.0
19,.72.4....5............63......7..1...8..9..74..6.....53.....8...4...531....9.2.6.,672841593513279648498563721924758136185396274736124985369417852247685319851932467,23,1.3
20,........3.3.9..4..5....67..31.5....2...74.631..4....7......7.56..1...8...8.6..2..,279854163136972485548316729317568942825749631964231578492187356651423897783695214,26,0.0
21,..8.....62..73....7..9..4.8.42.........2......3...1..5..5...9.2...6...3.9.......7,198524376264738159753916428542869713871253694639471285385147962427695831916382547,22,0.0
22,.2.3.7..4..........9.54......4..93..1.....7..5.......9....7.18..5...32....329..7.,825317964416928537397546821264759318139864752578132649942675183751483296683291475,24,3.2
23,..5...3..31....28.6.7.1............2.5.1......8.9........5.791.....3.8....1.2..7.,895274361314695287627318549469783152753142698182956734248567913976431825531829476,23,1.0
24,.1.28......8....57.6....1..75.3..2....3.7.9......914.......6...........9...1.7.2.,317285694428619357965743182759364218143872965286591473832956741671428539594137826,23,0.0
25,....168..3.2......9...37..212..8..59....59.....4.....7.3..62........1...8.......4,745216893312948576968537142127684359683759421594123687439862715256471938871395264,24,0.0
26,1..4..759...1..8....3.......8.2..57..4......1.1...73..4..7.3..2....92.......4..6.,128436759564179823973528614389214576647385291215967348496753182851692437732841965,25,0.0
27,......1..7.....2....835..6.25...1....9...75.....98...........2.5.6..87...8.26....,362749185745816293918352467254631879893427516671985342139574628526198734487263951,23,1.5
28,9....1..........76....7.8...3...7....724...61..5.........2......4..8..352..6..9..,967841523584932176321576849639127458872495361415368792798253614146789235253614987,22,2.7
29,6..8.97...2......1.7..2..36..7..51....3.........67..48.........18...32.....9..817,641839752329567481578124936467385129813492675952671348794218563186753294235946817,26,3.3
30,2.74...5...3..781.5.4..3...19.5....36....1..7....8...2...8......5..9....7........,217468359963257814584913726192574683648321597375689142421836975856792431739145268,24,0.0
31,...........8.4..9..65..8...8127..........523...9....1..7...4..8.9...17..4...6.92.,124579386738642591965138472812793654647815239359426817273954168596281743481367925,25,1.5
32,.4.39....9.2...865.........7.......3....5..2...9.3.5..52.........7..8....6.7...4.,845396271932471865671582439756824193483159627219637584524963718197248356368715942,22,3.3
33,9.....28..1..7.36........9......6..3..8.1...2.9..8..7.27.36.......7...38..5......,953641287814279365726835491547926813638417952192583674271368549469752138385194726,24,4.5
34,.962....5.....43.........264.......7.6..4.25.3.7..19.....5..8..7...2.5....8.17...,896273415572164398143985726485392167961748253327651984614539872739826541258417639,26,3.0
35,....39.4........28.12.........856.9..8......4....23.5.4...6.23.1.7...5.......7...,678239145934715628512684973341856792285971364796423851459168237167342589823597416,24,0.0
36,.....46..4.76....12.......98....5.34..6...58.1.4....6.........8.7.9.......9..64..,915284673487693251263157849892765134736419582154328967641532798578941326329876415,24,0.0
37,.6....5.74.......97..56....8..6....2...3..194......6.....8.37....1.4...8..4...21.,268194537415732869793568421849651372526387194137429685952813746371246958684975213,25,0.0
38,.1..34.....5...6...971......3.8....61....2......491.8.......92.6...8..432........,816534792425978631397126854934857216158362479762491385581643927679285143243719568,24,0.0
39,.....29...8....6....297......8.4...63..1.6..4.9......31..3.......5.......2.5..84.,741652938589431627632978415218743596357196284496825173164389752875214369923567841,23,1.3
40,..953....42..7..9.........425.9..67.7.3......9......2...1.........69...5.6..53...,179534862425876391638129754254918673783265149916347528591782436347691285862453917,24,1.2
41,.3.8.2..4..8......6...5..9.....71...49.....65..6.4.....2...3..9.5....7.......93..,539812674178496532642357891285671943497238165316945287821763459953184726764529318,23,0.0
42,.4...368...2..9.....5.7.3.11...58.2...3...1.........7....24...8...8........7..95.,947513682312689547865472391176358429483927165259164873591246738734895216628731954,24,0.0
43,.1.3...2.63.....9.72..4....34.8...7.26....5......9.2......657.3........15..1..9..,914378625638521497725649318349852176267413589851796234182965743496237851573184962,26,1.8
