id,puzzle,solution,clues,difficulty
0,56....24.4..7...5.........8...1..4237...86......2.3.....1....8..8....59.3.9...6..,567318249438729156912564738896175423723486915145293867671952384284637591359841672,25,0.0
1,4.3...8...6.........971.....8.....65.......72697...3.4...67....1....9...348..2...,413296857765483219829715643284937165531864972697521384952678431176349528348152796,25,0.0
2,3........6....3.797.9...1.6...61....5...97..1...8..6....2.8..47..........5.3.98..,315976428628143579749258136894612753536497281271835694962581347183724965457369812,25,0.0
3,.5....12..4.5.89..1.......7...9.2.45...4.18....7......5...836.....2...83........2,953647128742518936168329457816972345235461879497835261529783614671294583384156792,25,0.0
4,..8.......9.4.6...4....7..35.....16.8.9...4...27.1....9.4....57..2.73....5....2..,278391546391456728465287913543728169819635472627914385934162857182573694756849231,25,0.0
5,..9...4.6..2..4....5.63......37....2.....16...9..83........5.6..38.1..94......8.5,379158426862974351451632978143769582785421639296583147917845263538216794624397815,25,0.0
6,7..96......9.178....43....6...75....86............4....3.5..918.2.....35.........,783962154659417823214385796341758269865291347972634581437526918126879435598143672,23,0.0
7,..5...27.36.....4..1.5....3.....1.........3.8.2..7..........5..79.14..36..46.8.1.,845316279369287145217594683453861792971452368628973451186739524792145836534628917,25,0.0
8,9.4...5.1.8....42......2.7.......29.15.9...8.6.......5...6..3...9.2.8...7...45...,924786531587319426361452879873561294152974683649823715215697348496238157738145962,25,0.0
9,...3.....8.25.1..33.4...6..4.........7..195....3......5....7.1...186..9...6..4.7.,957346128862571943314982657495623781678419532123758469549237816731865294286194375,25,0.0
10,7...986.5..1.37..2..4....3..6.........3.7.....1.5.......6..4.178.....2.6.......84,732198645651437892984265731568342179493671528217589463326854917849713256175926384,25,0.0
11,36......78.....69...1...8....2..576....8...3..7..26.......93....2.....591...72...,369458127847231695251769843432915768615847932978326514584693271726184359193572486,25,0.0
12,.3.....6....7..8.11............8..94..75.96..5..6....2.1..9....3.5.4......8..3...,832451967659732841174968325261387594487529613593614782716295438325846179948173256,23,0.0
13,..3..1.6..9.7..5.........47..524.3.9......4.....6.....35..6.....6..8...38...5..1.,573491268498726531126835947615248379732519486984673125357162894261984753849357612,24,0.0
14,.1.....63..7..2.9....9...28...8....98..1......2.6..5.4..8..5..67...9.....9..6...2,219587463687342195435916728376854219854129637921673584148235976762498351593761842,25,0.0
15,.5..627....3.7...5..81.....7..4.....83......2.69..........561.7..6...5.......3.2.,951362748643879215278145369712438956835691472469527831394256187126784593587913624,24,0.0
16,1...593...........36.8..1...29...4.7.........7.162.......3.12...48......2....6..9,182759364495163872367842195629538417834917526751624983576391248948275631213486759,24,0.0
