id,puzzle,solution,clues,difficulty
0,.......7..1.9.4..8..9........5..17....3..96..1...67..9........4.82.46...3...8....,234618975517934268869275341695421783473859612128367459756193824982546137341782596,23,8.5
1,.1......6...2.....5..61.93.72............9.4.......8.51...4.5..9.8..7..3.7.1.....,412398756639275418587614932724851369856739241391426875163942587948567123275183694,23,8.4
2,.7.1..........6..3..9....54...6...85...82..4..173.......25.9.6...6..2....9.......,274135698581946273639278154423691785965827341817354926342519867156782439798463512,23,8.3
3,...1.........2...71.6.79.3...4..15..3.5.....6..15..32.....9..6..7.......5.38.....,237158694849623157156479832964231578325987416781546329418795263672314985593862741,24,8.2
4,....6....8....4.....25..39..2...195.9...7..........23.7...9.64....7....3...3..5..,379862415851934726462517398623481957945273861187659234738195642594726183216348579,23,8.0
5,.94..3......91....13....2...4.73.6....8....1....4..5..2.3..61...6.....4.....2....,894263751527918436136574289945731628378652914612489573253846197761395842489127365,23,8.0
6,...9..6.1..6..3.8..4.....3...2..13...8..7....5......92..378.5.........1.92...6...,238957641796143285145862937472691358389275164561438792613784529857329416924516873,24,8.0
7,...6...1...1....29..2.7.3....43.6.....9...5.78......6442..5.......9.......7.63...,398642715741835629652179348574396182269418537813527964426751893135984276987263451,24,7.9
8,...71..4......4..28...........6.51.9.6...1.....2.............7.2.9.7.....43..6.15,925718346316954782874362591437685129568291437192437658681549273259173864743826915,22,7.9
9,56...8..2..8.6.5....9.4......5..746..3...58..1...............3482..16............,567938142248761593319542786985327461436195827172684359651879234823416975794253618,23,7.8
10,7.....2.4.6.9...5.4..17..9.158....6....6..4......5...7...36......2..........9157.,789536214361924758425178396158247963273619485694853127517362849942785631836491572,25,7.7
11,6...1....8...4.163....8.4..1.7....9.5.3.7..2......5.........8.......1....8..6..42,674513289825749163319286457147628395593174628268935714756492831432851976981367542,23,7.7
12,.9......58..6...74.7..3.8.6..27..5.86..542..7..7..3.....4..........95...3....8...,296874315813659274475231896932716548681542937547983162154327689768195423329468751,26,7.7
13,...3.........96..18.3.1.6.41.2...5.....25...7..9.6..1...7...2...2.......9..8...56,716348925254796381893512674142987563368251497579463812687135249425679138931824756,25,7.7
14,.3.4....754..9......7...18....7.62..6..2...3.8...3.........5..2..9..4.1..5..7.4..,136482597548197623927653184394716258675248931812539746481965372769324815253871469,25,7.7
15,..7...563.2...........9.....61...........62....54..78....784..1..65..8.2.......4.,917248563624153978583697124761825439849376215235419786392784651476531892158962347,23,7.7
16,.6..7..4.1...8...2...4...1......9.....584.3..69.3....7.8.....6...9...2......5..74,962571843147683952853492716314729685725846391698315427481237569579164238236958174,24,7.7
17,......9......1..5...473.8..75...2.....9.87..6..8.....9.6.....1.8...7.62...53.....,572846931683219457194735862756492183329187546418653279967528314831974625245361798,24,7.6
18,..89...2.5...3.........78.1..2.8...7..32....6......18.....95.1...4.7.....6.4.....,678914325541832769239567841412689537783251496956743182827395614394176258165428973,23,7.6
19,7........6....34.5.9....62.9.5.....8..4.9...2.3.5...4......7.....78.5.......2..14,741256389682913475593478621925764138874391562136582947269147853417835296358629714,24,7.6
20,8...5.....2.......3.9....17..5..48...8...3..2......1.95....86.3...76.......3.....,816257394724931568359846217275194836981673452643582179597418623432765981168329745,22,7.6
21,..1.4..6...9......4..5...3.9...2.35.3..9.1....27.....9.7.25.........76.....8...45,251348967739162584468579132916724358345981276827635419174256893583497621692813745,25,7.6
22,8...5....1.9.4.5..3..6..8....1....5..9....73.....24..9...1..3...6..75.2......2..7,876259413129348576354617892741963258692581734538724169287196345463875921915432687,25,7.6
23,54...68.....1............346.....2.......1.8.27..9...546..5.9...8......7..34.....,541736892832149756796825134619584273354271689278693415467358921185962347923417568,23,7.6
24,..3.2....5.......6.6..7.9.17....13....9....5..8...2..99..3..4....8..6.....4...7..,193628574547193826862475931726951348319864257485732619951387462278546193634219785,23,7.5
25,3.......4.......9.1.79..85.......1.27....2.4.....96.....6.7...5..865...1...1..4..,359867214864521397127943856693485172785312649241796583416278935938654721572139468,24,7.5
26,2.4..............1.5...74...3.....18..9..47...6.8....93...6....91....2.3.....28..,294183675673245981851697432432976518189534726765821349328769154917458263546312897,23,7.5
