id,puzzle,solution,clues,difficulty
0,3.984......7....6.6..1..4....5.........52....2.8.3..7..9..1..57....5793.......62.,359846712147295368682173495915768243734529186268431579496312857821657934573984621,26,1.1
1,...4...2...4...7...8...7.3...78..3.1....1.4..5...2...6.....914.86...2....3.......,976431825354268719182957634247896351698513472513724986725689143861342597439175268,23,1.4
2,.52...6....9..4......82....38..59..42...7..9.........8........79....6....6173..5.,852397641739614285614825973386259714245178396197463528523981467978546132461732859,24,1.4
3,.....72..21.......6...819..........954..7.6...86..4.3...39...2...9.....4.2...38..,495637218218495763637281945372816459541379682986524137763948521859162374124753896,25,1.9
4,...9.5.1..5.2......9..8.5.3..3..6..768....1.9....3.2..1..76..2....8......2....9.1,368945712451273698792681543213596487685427139947138256134769825579812364826354971,26,1.7
5,...2....9.....54..6.9..4..1.3.........1...5...27.3918.8.4....373..4..........8.4.,748213659213965478659874321436581792981742563527639184894156237362497815175328946,25,1.5
6,.1..9.2...8...14.32.7..5.......869..493........2...1..3.6.1..4....95..........8..,514693287689721453237845691175486932493172568862539174356218749728954316941367825,25,1.6
7,...91..36....5.21......27..25........6..2.95.738..6........9..2..1...3.7....8.4..,425917836687354219913862745259431678164728953738596124346179582891245367572683491,26,1.8
8,4....23...8..9....3.7...8.4....35...7.81...5.......9....25...........4.81.3..9.27,419782365685493172327651894264935781798146253531278946872514639956327418143869527,25,1.1
9,...1....2...6.3......4975.8.8..39.4.1.7...9..........6.5.8......79.....48...5..6.,794185632518623479362497518286739145147568923935241786453876291679312854821954367,25,1.2
10,.....952..2.6.1....1....7....8.......67...3.29....46.7.3..8.......42..5.69..5....,476839521529671834813245769348762195167598342952314687235987416781426953694153278,25,1.1
11,16...85.......64......7.9..........3...2....569.5.1..7..3......7....4.29.48....6.,167498532539126478482375916825647193371289645694531287913762854756814329248953761,24,1.5
12,.972.........3....13..57..6.21......6.............47.2...51.3..9.4...2.5......867,597246183462831579138957426721395648643782951859164732276518394984673215315429867,25,1.0
13,.....4......2..7.5..43..1.8.7.8.629..3...5...4.2....6..485....6....4...2.....7...,825714639319268745764359128571836294936425817482971563148592376657143982293687451,25,1.2
14,4.....83.6.......1..169....396..5.....47..9.......2..8.1..7...2....1..8...5..3.7.,429157836678324591531698724396485217284731965157962348913876452742519683865243179,25,1.8
15,.5.2.....7..8..9......943......41..76....8..9.945...8...8....6...7......3...6....,459237816736815924812694375283941657675328149194576283928453761567189432341762598,23,1.6
16,6..1..7...57...13.41...9......8.4.7.1....29....8.73......2....7..5.....2.....68..,683145729957628134412739568539814276174562983268973451846251397395487612721396845,25,2.0
17,.6.8..4..9.......5..8....1.....2.8.7.3.......1.7...29.79.5..1..5....4..24..6.1...,365817429914236785278945316649123857832759641157468293796582134581374962423691578,25,1.2
18,46........914.8...2...965.16...8.79..8...416............2..3879................32,465231987791458326238796541623185794587924163914367258152643879349872615876519432,26,1.8
19,2..5.38...6.1....97.....35......156...74....2.2.....9.1..9..7...........3...28...,219543876563187249748692351934271568857469132621835497186954723472316985395728614,24,1.0
20,..61..3.......3.2....7.....67.....59...4.9..6.9..1.....2.....9.7.......11.4..82..,286195347917843625543726918671382459832459176495617832328561794769234581154978263,23,1.5
21,..48......3.67..1.8...2...731.........67.1....9.2...5...3.4.9.6.....8.4..6......8,674815293932674815851923467315489672246751389798236154183547926529368741467192538,25,1.7
22,...7....613....5..25.......7....36.....4.6..7...9.5...4...1.2....8..4.5......9.3.,984752316137698542256341879749123685325486197861975423493517268678234951512869734,23,1.1
23,.2...49.5..16.....8.....1......2.....5.7..84.6........4.6.1.57..37.9...2........1,723184965541639728869257134974528316352761849618943257496812573137495682285376491,24,1.0
24,...5...7...4....2..3......8.6..2....35..96..7.1....3..7..38.6.51.6..9..........94,621538479874961523935247168467823951358196247219475386792384615146759832583612794,25,1.7
25,.5.6...74..3..186....2..5..1......2.........667.5....9.9..48..38..3..6...........,251683974743951862968274531185496327329817456674532189596748213817329645432165798,24,1.6
26,.456...1..3.49.........1....8..2..6.5....4.3.4.6.3......7...189.......4.9..8..673,245683917731492856869751324183927465592164738476538291357246189618379542924815673,27,1.8
27,..5.64.8......2...87..5..6......3.9.3..5.64.....97.............94...1.37.5.3..2..,135764982469832175872159364586243791397516428214978653723495816948621537651387249,25,1.5
28,..46.9....79438......1...6...5..7........689..618...7..2......99.37...264........,514629738679438152238175964895217643742356891361894275127563489983741526456982317,27,2.0
29,....1.......9.8.....73..2..2......844....536...1.....5.....314...9........514.6..,823517496614928537597364218256731984478295361931486725762853149149672853385149672,23,1.4
30,.........72.5..46.8...42.95..375....6.5..9......3.1.7...9....3..8........4....952,954687213721593468836142795413758629675429381298361574569214837382975146147836952,26,1.7
31,.9.1.....5.4.8..9....9.5...8....6..5....537..4.527......7............62..1.6.98..,296134578534782196781965432873496215129853764465271389657328941948517623312649857,25,1.6
32,.4...6...39...........5.81.683..1..9...4........62...7.79..4.25...2......1....7..,145786932398142576762953814683571249927438651451629387879364125536217498214895763,24,1.1
33,.9.21....2....5.3..........47.9....6.2..53..7....62.....7............195..3.9...4,394217658261845739758639412475981326126453987839762541917524863642378195583196274,23,1.1
34,12....8.........9.5..38..17..14.9.5.9..2.3....5...7.3........4884.....73......6..,123975864478621395596384217381469752967253481254817936619732548842596173735148629,26,1.0
35,..21..5..37...9...9..8......1...5......2.....74...3.6....4...3...3..1.8..86...2.1,862134579371659428954872613218765394639248157745913862127486935493521786586397241,24,1.1
36,....3....5.....4..319....2..4...35..2..9..76...65..9..182..........54......2.83..,427836159568129473319475826941763582235981764876542931182397645793654218654218397,25,1.8
37,.....7.13..1..........687...56....397..........2.9.5.82.7..58.....6.......8.3.9..,984527613671349285523168794856271439749853162312496578237915846195684327468732951,24,1.5
38,.7.....9...1.4....43...9.......7..8.5.2...1..3...2..46..5..342.....9..1....4..7.3,278631594951847362436259871194376285562984137387125946815763429743592618629418753,25,1.3
39,8...54.............5.13...4.1...37.8.....6.9..7....15253..4......8......9.2....1.,893654271124978536657132984419523768285716493376489152531847629768291345942365817,24,1.5
