id,Backtrack,MCTS,DeepIterativeSolver,AlphaSudoku,clues,difficulty
0,211,996,57,80,24,0.0
1,1241,784,57,80,24,0.0
2,282,190,56,79,25,0.0
3,1589,179,55,78,26,2.6
4,709,401,56,79,25,1.3
5,114,152,57,80,24,0.0
6,385,123,57,80,24,1.0
7,7523,393,58,81,23,0.0
8,369,674,56,79,25,0.0
9,1811,1240,46,143,24,2.8
10,379,160,58,81,23,2.2
11,800,2636,58,81,23,0.0
12,239,477,55,702,25,2.1
13,271,292,55,78,26,0.0
14,1785,212,55,2882,24,3.1
15,94,176,58,81,23,0.0
16,96,482,48,183,23,0.0
17,257,169,55,136,25,2.6
18,1254,125,55,78,26,0.0
19,346,221,58,81,23,1.3
20,239,262,55,78,26,0.0
21,3766,3505,59,82,22,0.0
22,424,345,56,826,24,3.2
23,438,313,30,134,23,1.0
24,193,81,58,81,23,0.0
25,1375,309,39,177,24,0.0
26,576,1629,56,79,25,0.0
27,4883,865,58,81,23,1.5
28,1975,1624,59,82,22,2.7
29,721,2507,54,122,26,3.3
30,132,183,57,80,24,0.0
31,281,1100,33,786,25,1.5
32,31012,1388,58,178,22,3.3
33,20774,3325,51,122,24,4.5
34,77,158,55,78,26,3.0
35,57,159,57,80,24,0.0
36,57,80,57,80,24,0.0
37,671,690,56,79,25,0.0
38,89,165,57,80,24,0.0
39,116,121,58,81,23,1.3
40,1136,2027,57,80,24,1.2
41,324,2359,58,81,23,0.0
42,57,80,57,80,24,0.0
43,127,779,53,167,26,1.8
44,1705,1533,56,172,23,4.5
45,244,861,57,80,24,0.0
46,345,2594,50,442,24,1.0
47,220,81,58,81,23,1.2
48,158,2648,56,120,24,2.4
49,171,204,57,80,24,0.0
50,1727,874,54,924,25,3.3
51,1015,312,57,80,24,0.0
52,56,118,56,79,25,0.0
53,263,132,56,79,25,0.0
54,641,155,57,80,24,0.0
55,135,343,57,80,24,0.0
56,657,294,56,3080,24,3.2
57,411,118,57,80,24,0.0
58,1395,78,52,1212,26,3.3
59,57,80,56,177,24,2.1
60,213,106,56,79,25,0.0
61,115,2390,57,80,24,0.0
62,1819,353,14,2910,25,0.0
63,151,217,56,79,25,1.6
64,271,1167,53,202,25,3.5
65,101,111,56,79,25,0.0
66,1124,229,57,80,24,0.0
67,550,422,57,80,24,1.9
68,1371,2664,53,247,27,1.4
69,73,246,56,574,24,0.0
70,66,544,52,1858,27,3.5
71,185,80,57,80,24,1.7
72,197,747,51,1679,28,1.7
73,488,268,39,463,25,2.0
74,5981,1407,58,160,22,1.6
75,219,157,57,80,24,0.0
76,142,225,57,80,24,0.0
77,149,548,52,2304,26,1.5
